罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,水戸,水戸駅南口交番,082015,茨城県,水戸市,宮町１丁目,2021-04-29,18,道路上,その他,施錠せず,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,笠原町,2021-01-06,22,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,笠原町,2021-04-22,08,道路上,その他,施錠せず,あり
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,笠原町,2021-08-30,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,笠原町,2021-10-29,17,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,笠原町,2021-12-25,07,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,平須町,2021-01-20,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,平須町,2021-02-09,04,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,平須町,2021-08-08,15,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,平須町,2021-10-31,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,吉沢町,2021-10-31,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,県庁前交番,082015,茨城県,水戸市,吉沢町,2021-11-01,00,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,石川町交番,082015,茨城県,水戸市,石川２丁目,2021-12-08,21,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,石川町交番,082015,茨城県,水戸市,東赤塚,2021-03-29,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,石川町交番,082015,茨城県,水戸市,姫子１丁目,2021-08-12,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,石川町交番,082015,茨城県,水戸市,堀町,2021-05-27,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字奥谷,2021-04-19,13,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字上石崎,2021-07-15,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字木部,2021-01-10,17,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字駒場,2021-06-26,17,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字長岡,2021-01-02,11,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字長岡,2021-04-14,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字長岡,2021-08-28,23,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字野曽,2021-07-06,12,その他,その他,施錠した,なし
窃盗,車上ねらい,水戸,茨城地区交番,083020,茨城県,茨城町,大字南栗崎,2021-09-10,08,その他,その他,施錠した,なし
窃盗,車上ねらい,水戸,見川交番,082015,茨城県,水戸市,河和田町,2021-07-22,07,道路上,その他,施錠せず,あり
窃盗,車上ねらい,水戸,見川交番,082015,茨城県,水戸市,河和田町,2021-08-24,21,一戸建住宅,その他,施錠した,なし
窃盗,車上ねらい,水戸,見川交番,082015,茨城県,水戸市,見和２丁目,2021-05-26,18,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,赤塚駅前交番,082015,茨城県,水戸市,赤塚１丁目,2021-12-08,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,赤塚駅前交番,082015,茨城県,水戸市,赤塚１丁目,2021-12-08,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,赤塚駅前交番,082015,茨城県,水戸市,赤塚２丁目,2021-12-13,13,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,赤塚駅前交番,082015,茨城県,水戸市,大塚町,2021-12-08,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,赤塚駅前交番,082015,茨城県,水戸市,河和田３丁目,2021-05-26,14,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,赤塚駅前交番,082015,茨城県,水戸市,中丸町,2021-12-08,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,酒門交番,082015,茨城県,水戸市,元石川町,2021-02-05,14,道路上,その他,施錠せず,あり
窃盗,車上ねらい,水戸,酒門交番,082015,茨城県,水戸市,元吉田町,2021-01-02,15,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,酒門交番,082015,茨城県,水戸市,元吉田町,2021-01-29,15,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,酒門交番,082015,茨城県,水戸市,元吉田町,2021-02-01,15,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,酒門交番,082015,茨城県,水戸市,元吉田町,2021-02-01,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,酒門交番,082015,茨城県,水戸市,元吉田町,2021-10-31,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,酒門交番,082015,茨城県,水戸市,けやき台３丁目,2021-07-09,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,笠間,七会駐在所,083101,茨城県,城里町,大字上赤沢,2021-10-14,19,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,笠間,佐白交番,082163,茨城県,笠間市,稲田,2021-01-23,20,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,笠間,入野駐在所,083101,茨城県,城里町,大字増井,2021-05-10,10,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,笠間,北吉原駐在所,082163,茨城県,笠間市,本戸,2021-05-01,00,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,笠間,北吉原駐在所,082163,茨城県,笠間市,本戸,2021-07-03,15,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,笠間,北吉原駐在所,082163,茨城県,笠間市,本戸,2021-08-01,00,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-01,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-01,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-01,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-01,19,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-01,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-01,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-01,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,旭町,2021-12-02,02,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,鯉淵,2021-02-22,02,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,鯉淵,2021-06-09,20,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,笠間,友部駅前交番,082163,茨城県,笠間市,南友部,2021-07-26,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,笠間,大原駐在所,082163,茨城県,笠間市,小原,2021-09-03,12,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,笠間,岩間駅前交番,082163,茨城県,笠間市,市野谷,2021-03-20,12,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,笠間,岩間駅前交番,082163,茨城県,笠間市,押辺,2021-08-11,05,道路上,その他,施錠せず,あり
窃盗,車上ねらい,笠間,岩間駅前交番,082163,茨城県,笠間市,下郷,2021-07-17,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,後台,2021-08-06,18,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,後台,2021-10-09,09,その他,その他,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,後台,2021-11-12,21,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-01-21,08,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-05-01,09,道路上,その他,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-06-26,18,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-07-03,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-07-08,07,その他,その他,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-08-07,09,その他,その他,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-09-12,16,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-09-15,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-09-22,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-10-09,08,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,菅谷,2021-12-10,13,その他,その他,施錠せず,なし
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,杉,2021-01-19,09,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,津田,2021-04-10,21,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,竹ノ内１丁目,2021-12-20,00,道路上,その他,施錠した,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,竹ノ内２丁目,2021-05-27,17,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,後台交番,082261,茨城県,那珂市,竹ノ内２丁目,2021-07-21,08,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,瓜連駐在所,082261,茨城県,那珂市,瓜連,2021-01-03,18,道路上,その他,施錠せず,なし
窃盗,車上ねらい,那珂,瓜連駐在所,082261,茨城県,那珂市,瓜連,2021-09-26,12,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,瓜連駐在所,082261,茨城県,那珂市,静,2021-05-06,10,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,那珂,飯田駐在所,082261,茨城県,那珂市,鴻巣,2021-03-19,10,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,那珂,飯田駐在所,082261,茨城県,那珂市,鴻巣,2021-10-20,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,大宮,東富町交番,082252,茨城県,常陸大宮市,泉,2021-06-18,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,大宮,東富町交番,082252,茨城県,常陸大宮市,北町,2021-08-01,01,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,大宮,東富町交番,082252,茨城県,常陸大宮市,中富町,2021-09-04,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,大宮,東富町交番,082252,茨城県,常陸大宮市,根本,2021-07-24,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大宮,東富町交番,082252,茨城県,常陸大宮市,三美,2021-11-02,17,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,大宮,東富町交番,082252,茨城県,常陸大宮市,三美,2021-11-03,20,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,日立,うさぎ平交番,082023,茨城県,日立市,城南町３丁目,2021-03-27,11,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,日立,うさぎ平交番,082023,茨城県,日立市,中成沢町１丁目,2021-11-02,21,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,日立,うさぎ平交番,082023,茨城県,日立市,中成沢町２丁目,2021-11-02,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,日立,うさぎ平交番,082023,茨城県,日立市,中成沢町２丁目,2021-11-02,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,日立,久慈交番,082023,茨城県,日立市,留町,2021-03-12,07,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,日立,十王駅前交番,082023,茨城県,日立市,折笠町,2021-08-02,05,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,日立,多賀駅前交番,082023,茨城県,日立市,多賀町１丁目,2021-10-09,02,道路上,その他,施錠せず,あり
窃盗,車上ねらい,日立,多賀駅前交番,082023,茨城県,日立市,多賀町１丁目,2021-11-02,15,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,日立,日立駅前交番,082023,茨城県,日立市,神峰町３丁目,2021-08-03,08,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,日立,日立駅前交番,082023,茨城県,日立市,神峰町４丁目,2021-07-17,08,道路上,その他,施錠せず,なし
窃盗,車上ねらい,高萩,上手綱駐在所,082147,茨城県,高萩市,大字上手綱,2021-09-20,11,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,高萩,磯原駅前交番,082155,茨城県,北茨城市,中郷町小野矢指,2021-10-07,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,高萩,高萩駅前交番,082147,茨城県,高萩市,大字高戸,2021-02-01,20,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,高萩,高萩駅前交番,082147,茨城県,高萩市,高浜町３丁目,2021-08-02,05,その他,その他,施錠した,あり
窃盗,車上ねらい,高萩,高萩駅前交番,082147,茨城県,高萩市,大和町４丁目,2021-11-06,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鉾田,大竹駐在所,082341,茨城県,鉾田市,大竹,2021-07-12,06,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鉾田,大竹駐在所,082341,茨城県,鉾田市,大竹,2021-07-31,10,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上沢,2021-02-17,09,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上沢,2021-08-26,05,その他,その他,施錠した,なし
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上沢,2021-09-10,05,道路上,その他,施錠した,なし
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上沢,2021-09-21,08,道路上,その他,施錠した,あり
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上沢,2021-10-14,08,その他,その他,施錠せず,あり
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上沢,2021-12-20,17,その他,その他,施錠せず,なし
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上幡木,2021-08-26,05,道路上,その他,施錠した,あり
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,上幡木,2021-10-06,05,その他,その他,施錠した,あり
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,汲上,2021-07-23,09,その他,その他,施錠せず,あり
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,汲上,2021-08-31,11,道路上,その他,施錠した,あり
窃盗,車上ねらい,鉾田,大蔵駐在所,082341,茨城県,鉾田市,台濁沢,2021-08-24,06,その他,その他,施錠した,あり
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,安房,2021-03-28,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,烟田,2021-09-03,04,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,烟田,2021-09-03,15,その他,駐車（輪）場,施錠した,なし
